age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed,subscribed_bin,never_contacted,balance_segment,segment,propension_score,score_decile,priorite
67,retired,married,secondary,no,1146,no,no,cellular,13,nov,259,1,92.0,2,failure,yes,1,0,Q3 — Solde moyen-haut,CHAUD,0.8176035821206935,D8,PRIORITÉ 1 — Contacter en urgence
31,services,single,secondary,no,181,no,no,cellular,13,nov,239,2,93.0,2,success,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.7700829349509916,D7,PRIORITÉ 1 — Contacter en urgence
61,retired,married,secondary,no,3114,no,no,cellular,13,nov,381,1,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.8478849727419859,D8,PRIORITÉ 1 — Contacter en urgence
36,technician,single,secondary,no,376,no,no,cellular,13,nov,193,1,92.0,1,success,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.8696079940918506,D9,PRIORITÉ 1 — Contacter en urgence
56,retired,married,primary,no,9367,no,no,telephone,13,nov,271,2,92.0,4,success,yes,1,0,Q4 — Solde élevé,CHAUD,0.9095068987812385,D9,PRIORITÉ 1 — Contacter en urgence
24,student,single,secondary,no,382,no,no,cellular,13,nov,256,2,92.0,3,failure,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.918943208350526,D10,PRIORITÉ 1 — Contacter en urgence
33,admin.,married,secondary,no,920,no,no,cellular,16,nov,130,1,95.0,2,failure,yes,1,0,Q3 — Solde moyen-haut,CHAUD,0.3661982050101058,D5,PRIORITÉ 2 — À qualifier
34,blue-collar,single,,no,129,yes,yes,cellular,16,nov,295,1,200.0,2,success,yes,1,0,Q2 — Solde moyen-bas,TIÈDE,0.6656878335571211,D6,PRIORITÉ 1 — Contacter en urgence
58,admin.,married,secondary,no,169,no,no,cellular,16,nov,301,1,94.0,3,failure,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.6693666825547685,D6,PRIORITÉ 1 — Contacter en urgence
64,retired,married,,no,679,no,no,telephone,16,nov,167,1,,0,,yes,1,1,Q3 — Solde moyen-haut,CHAUD,0.7208807367763739,D7,PRIORITÉ 1 — Contacter en urgence
27,blue-collar,single,secondary,no,535,no,no,cellular,16,nov,183,1,94.0,1,success,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.9643722451473938,D10,PRIORITÉ 1 — Contacter en urgence
63,management,married,tertiary,no,3115,no,no,cellular,16,nov,432,5,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.8313437602445485,D8,PRIORITÉ 1 — Contacter en urgence
23,student,single,secondary,no,1234,no,no,cellular,16,nov,250,1,,0,,yes,1,1,Q3 — Solde moyen-haut,CHAUD,0.8902048647466907,D9,PRIORITÉ 1 — Contacter en urgence
37,technician,single,tertiary,no,197,no,no,cellular,16,nov,175,1,200.0,1,success,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.8986955746349172,D9,PRIORITÉ 1 — Contacter en urgence
43,management,married,tertiary,no,3186,no,no,cellular,16,nov,380,1,88.0,1,failure,yes,1,0,Q4 — Solde élevé,CHAUD,0.763370676364097,D7,PRIORITÉ 1 — Contacter en urgence
35,technician,married,tertiary,no,3160,yes,no,cellular,16,nov,445,2,95.0,1,failure,yes,1,0,Q4 — Solde élevé,TIÈDE,0.6223951468631345,D6,PRIORITÉ 1 — Contacter en urgence
33,blue-collar,married,primary,no,195,no,no,cellular,16,nov,984,5,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.8238365935775043,D8,PRIORITÉ 1 — Contacter en urgence
75,retired,married,tertiary,no,6027,no,no,cellular,16,nov,1248,2,94.0,2,failure,yes,1,0,Q4 — Solde élevé,CHAUD,0.8643062391692438,D8,PRIORITÉ 1 — Contacter en urgence
40,admin.,married,tertiary,no,764,yes,no,,17,nov,85,1,,0,,yes,1,1,Q3 — Solde moyen-haut,CHAUD,0.29121487956298076,D5,PRIORITÉ 3 — Nurturing
52,management,married,tertiary,no,583,no,no,cellular,17,nov,209,1,91.0,2,failure,yes,1,0,Q3 — Solde moyen-haut,CHAUD,0.655566363572237,D6,PRIORITÉ 1 — Contacter en urgence
55,technician,divorced,tertiary,no,0,no,no,cellular,17,nov,134,2,91.0,1,success,yes,1,0,Q1 — Faible solde,CHAUD,0.44448163476737246,D5,PRIORITÉ 2 — À qualifier
71,retired,married,secondary,no,5715,no,no,cellular,17,nov,747,2,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.8670924158913431,D9,PRIORITÉ 1 — Contacter en urgence
78,retired,married,tertiary,no,1204,no,no,telephone,17,nov,135,1,,0,,yes,1,1,Q3 — Solde moyen-haut,CHAUD,0.5871291129874323,D6,PRIORITÉ 2 — À qualifier
35,technician,married,secondary,no,4922,yes,no,cellular,17,nov,393,4,201.0,17,other,yes,1,0,Q4 — Solde élevé,TIÈDE,0.5817408805529585,D6,PRIORITÉ 2 — À qualifier
52,technician,married,secondary,no,234,no,no,cellular,17,nov,255,1,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.4240694258248294,D5,PRIORITÉ 2 — À qualifier
31,management,single,tertiary,no,9421,no,no,cellular,25,nov,372,1,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.6194415259121671,D6,PRIORITÉ 1 — Contacter en urgence
31,admin.,single,secondary,no,4198,no,no,cellular,25,nov,234,1,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.5796046340626984,D6,PRIORITÉ 2 — À qualifier
38,management,married,,no,3576,no,no,cellular,25,nov,349,2,183.0,1,success,yes,1,0,Q4 — Solde élevé,CHAUD,0.8912534017525351,D9,PRIORITÉ 1 — Contacter en urgence
28,student,single,secondary,no,1925,no,no,cellular,25,nov,487,1,97.0,2,failure,yes,1,0,Q4 — Solde élevé,CHAUD,0.9358598970775779,D10,PRIORITÉ 1 — Contacter en urgence
72,retired,married,secondary,no,1129,no,no,cellular,25,nov,208,1,91.0,1,success,yes,1,0,Q3 — Solde moyen-haut,CHAUD,0.9393585376376719,D10,PRIORITÉ 1 — Contacter en urgence
29,admin.,single,secondary,no,265,yes,no,cellular,25,nov,414,1,184.0,1,failure,yes,1,0,Q2 — Solde moyen-bas,TIÈDE,0.8223315936461434,D8,PRIORITÉ 1 — Contacter en urgence
46,housemaid,married,secondary,no,38,no,no,cellular,25,nov,541,1,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.7207398521137605,D7,PRIORITÉ 1 — Contacter en urgence
53,technician,married,secondary,no,1982,yes,yes,cellular,27,nov,160,1,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.1278371146002444,D4,PRIORITÉ 4 — Ne pas contacter
58,technician,married,secondary,no,3399,no,no,telephone,30,nov,1628,2,188.0,8,success,yes,1,0,Q4 — Solde élevé,CHAUD,0.9638224265204304,D10,PRIORITÉ 1 — Contacter en urgence
22,student,single,tertiary,no,691,no,no,cellular,30,nov,260,5,103.0,1,success,yes,1,0,Q3 — Solde moyen-haut,CHAUD,0.9426087983531168,D10,PRIORITÉ 1 — Contacter en urgence
28,admin.,married,secondary,no,330,no,no,cellular,2,dec,357,1,188.0,3,other,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.9540167997168139,D10,PRIORITÉ 1 — Contacter en urgence
31,technician,married,secondary,no,318,no,no,cellular,2,dec,310,1,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.8715897463318446,D9,PRIORITÉ 1 — Contacter en urgence
26,blue-collar,single,tertiary,no,644,no,no,cellular,2,dec,346,1,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.9469740940792225,D10,PRIORITÉ 1 — Contacter en urgence
60,retired,divorced,tertiary,no,4,yes,no,cellular,2,dec,415,1,190.0,5,failure,yes,1,0,Q1 — Faible solde,TIÈDE,0.9066747705733359,D9,PRIORITÉ 1 — Contacter en urgence
29,technician,single,secondary,no,1165,no,no,cellular,3,dec,244,2,184.0,1,success,yes,1,0,Q3 — Solde moyen-haut,CHAUD,0.9764392493026572,D10,PRIORITÉ 1 — Contacter en urgence
36,admin.,divorced,tertiary,no,4708,no,no,cellular,3,dec,284,1,171.0,1,failure,yes,1,0,Q4 — Solde élevé,CHAUD,0.941094554726817,D10,PRIORITÉ 1 — Contacter en urgence
68,retired,married,tertiary,no,2820,no,no,cellular,3,dec,154,1,97.0,2,failure,yes,1,0,Q4 — Solde élevé,CHAUD,0.8973151084089888,D9,PRIORITÉ 1 — Contacter en urgence
48,management,married,tertiary,no,1147,no,no,cellular,3,dec,155,1,120.0,3,success,yes,1,0,Q3 — Solde moyen-haut,CHAUD,0.9651801836583622,D10,PRIORITÉ 1 — Contacter en urgence
53,unemployed,married,primary,no,980,yes,no,cellular,3,dec,352,1,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.7465944290420174,D7,PRIORITÉ 1 — Contacter en urgence
39,technician,married,secondary,no,2983,no,no,cellular,3,dec,472,1,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.9569835580075156,D10,PRIORITÉ 1 — Contacter en urgence
28,services,single,secondary,no,339,no,no,cellular,3,dec,350,1,182.0,1,success,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.9846382175780709,D10,PRIORITÉ 1 — Contacter en urgence
72,retired,married,,no,1940,no,no,telephone,4,dec,705,2,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.9491664288353678,D10,PRIORITÉ 1 — Contacter en urgence
29,management,single,tertiary,no,1445,no,no,cellular,4,dec,271,2,,0,,yes,1,1,Q3 — Solde moyen-haut,CHAUD,0.9052131035723615,D9,PRIORITÉ 1 — Contacter en urgence
26,student,single,tertiary,no,294,no,no,cellular,4,dec,208,2,,0,,yes,1,1,Q2 — Solde moyen-bas,CHAUD,0.8975387669213075,D9,PRIORITÉ 1 — Contacter en urgence
49,management,married,tertiary,no,5887,no,no,cellular,4,dec,439,3,185.0,5,success,yes,1,0,Q4 — Solde élevé,CHAUD,0.9827816040175691,D10,PRIORITÉ 1 — Contacter en urgence
43,management,single,tertiary,no,11891,no,no,cellular,4,dec,821,5,242.0,1,success,yes,1,0,Q4 — Solde élevé,CHAUD,0.9742409705326877,D10,PRIORITÉ 1 — Contacter en urgence
28,student,single,,no,78,no,no,cellular,4,dec,232,3,310.0,2,failure,yes,1,0,Q1 — Faible solde,CHAUD,0.9507222056252672,D10,PRIORITÉ 1 — Contacter en urgence
44,admin.,single,secondary,no,733,yes,no,cellular,4,dec,360,2,105.0,5,success,yes,1,0,Q3 — Solde moyen-haut,CHAUD,0.9376699145450536,D10,PRIORITÉ 1 — Contacter en urgence
73,retired,divorced,primary,no,5028,no,no,cellular,4,dec,696,10,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.935297297908673,D10,PRIORITÉ 1 — Contacter en urgence
39,management,married,tertiary,no,481,no,no,cellular,7,dec,929,5,189.0,1,other,yes,1,0,Q2 — Solde moyen-bas,TIÈDE,0.9445398573449658,D10,PRIORITÉ 1 — Contacter en urgence
29,student,single,secondary,no,314,no,no,cellular,7,dec,415,2,116.0,4,failure,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.9580424414587074,D10,PRIORITÉ 1 — Contacter en urgence
31,technician,married,secondary,no,684,yes,no,cellular,7,dec,620,3,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.9483200961645023,D10,PRIORITÉ 1 — Contacter en urgence
30,student,single,secondary,no,1681,no,no,cellular,7,dec,329,2,,0,,yes,1,1,Q3 — Solde moyen-haut,CHAUD,0.853571745370248,D8,PRIORITÉ 1 — Contacter en urgence
50,admin.,married,secondary,no,10250,yes,no,cellular,7,dec,254,3,385.0,2,other,yes,1,0,Q4 — Solde élevé,CHAUD,0.8693448010978585,D9,PRIORITÉ 1 — Contacter en urgence
42,management,married,tertiary,no,254,no,no,cellular,9,dec,288,7,183.0,4,success,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.9586362249067193,D10,PRIORITÉ 1 — Contacter en urgence
37,admin.,married,secondary,no,0,yes,no,cellular,9,dec,179,1,190.0,1,success,yes,1,0,Q1 — Faible solde,CHAUD,0.9526448325255594,D10,PRIORITÉ 1 — Contacter en urgence
49,technician,married,secondary,no,307,no,no,cellular,9,dec,854,1,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.9781729673627544,D10,PRIORITÉ 1 — Contacter en urgence
59,unemployed,married,secondary,no,957,no,no,cellular,9,dec,479,2,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.9400534216899317,D10,PRIORITÉ 1 — Contacter en urgence
80,retired,married,primary,no,155,no,no,telephone,9,dec,343,2,,0,,yes,1,1,Q2 — Solde moyen-bas,CHAUD,0.8841671898883035,D9,PRIORITÉ 1 — Contacter en urgence
86,retired,single,secondary,no,614,no,no,telephone,9,dec,595,1,,0,,yes,1,1,Q3 — Solde moyen-haut,CHAUD,0.9480556656626843,D10,PRIORITÉ 1 — Contacter en urgence
69,retired,married,,no,426,no,no,telephone,9,dec,395,1,,0,,yes,1,1,Q2 — Solde moyen-bas,CHAUD,0.9686193770773834,D10,PRIORITÉ 1 — Contacter en urgence
79,retired,married,secondary,no,8304,no,no,cellular,9,dec,456,2,275.0,9,success,yes,1,0,Q4 — Solde élevé,CHAUD,0.9806485742702982,D10,PRIORITÉ 1 — Contacter en urgence
36,services,married,secondary,no,4721,no,no,cellular,9,dec,149,3,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.629273554450658,D6,PRIORITÉ 1 — Contacter en urgence
49,management,married,tertiary,no,395,no,no,cellular,10,dec,336,5,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.8191488116921418,D8,PRIORITÉ 1 — Contacter en urgence
69,retired,married,secondary,no,3588,yes,no,cellular,10,dec,429,1,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.9469919661936056,D10,PRIORITÉ 1 — Contacter en urgence
66,retired,married,,no,2540,no,no,telephone,10,dec,441,2,156.0,1,other,yes,1,0,Q4 — Solde élevé,CHAUD,0.9753005510294056,D10,PRIORITÉ 1 — Contacter en urgence
32,management,divorced,tertiary,no,883,yes,no,cellular,10,dec,798,1,185.0,5,other,yes,1,0,Q3 — Solde moyen-haut,CHAUD,0.8536602950198738,D8,PRIORITÉ 1 — Contacter en urgence
47,management,single,tertiary,no,4402,no,no,telephone,10,dec,805,1,190.0,1,other,yes,1,0,Q4 — Solde élevé,CHAUD,0.9652311503778599,D10,PRIORITÉ 1 — Contacter en urgence
58,management,married,tertiary,no,256,no,no,cellular,10,dec,422,1,188.0,3,success,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.9790783680176368,D10,PRIORITÉ 1 — Contacter en urgence
64,retired,married,primary,no,43,no,no,cellular,10,dec,232,1,,0,,yes,1,1,Q1 — Faible solde,CHAUD,0.9332719632388655,D10,PRIORITÉ 1 — Contacter en urgence
72,retired,married,primary,no,3856,no,no,cellular,10,dec,582,4,115.0,1,other,yes,1,0,Q4 — Solde élevé,CHAUD,0.9188980087305875,D10,PRIORITÉ 1 — Contacter en urgence
79,retired,married,primary,no,3025,no,no,cellular,11,dec,166,3,126.0,3,other,yes,1,0,Q4 — Solde élevé,CHAUD,0.8911020824731202,D9,PRIORITÉ 1 — Contacter en urgence
30,technician,married,secondary,no,2326,no,no,cellular,14,dec,420,1,175.0,2,failure,yes,1,0,Q4 — Solde élevé,TIÈDE,0.9560070983900216,D10,PRIORITÉ 1 — Contacter en urgence
36,management,married,tertiary,no,925,no,no,cellular,14,dec,321,3,189.0,4,success,yes,1,0,Q3 — Solde moyen-haut,CHAUD,0.97742405659821,D10,PRIORITÉ 1 — Contacter en urgence
53,entrepreneur,married,tertiary,no,1961,no,no,cellular,15,dec,351,1,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.9081929371784268,D9,PRIORITÉ 1 — Contacter en urgence
34,management,married,tertiary,no,2037,no,no,cellular,15,dec,324,2,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.8671805350379649,D9,PRIORITÉ 1 — Contacter en urgence
29,student,single,secondary,no,459,no,no,cellular,15,dec,279,3,189.0,19,other,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.9162429155426066,D10,PRIORITÉ 1 — Contacter en urgence
29,management,single,tertiary,no,572,no,no,cellular,16,dec,314,1,195.0,1,success,yes,1,0,Q3 — Solde moyen-haut,CHAUD,0.9863866451760885,D10,PRIORITÉ 1 — Contacter en urgence
81,retired,divorced,secondary,no,452,no,no,telephone,16,dec,443,1,,0,,yes,1,1,Q2 — Solde moyen-bas,CHAUD,0.9569041343762404,D10,PRIORITÉ 1 — Contacter en urgence
57,retired,married,secondary,no,5313,no,no,cellular,16,dec,283,2,196.0,1,success,yes,1,0,Q4 — Solde élevé,CHAUD,0.9687447227666256,D10,PRIORITÉ 1 — Contacter en urgence
72,retired,married,secondary,no,1533,no,no,cellular,16,dec,546,2,,0,,yes,1,1,Q3 — Solde moyen-haut,CHAUD,0.9255428248893549,D10,PRIORITÉ 1 — Contacter en urgence
34,services,married,secondary,no,1337,no,no,cellular,17,dec,330,2,127.0,3,success,yes,1,0,Q3 — Solde moyen-haut,CHAUD,0.9756790914054062,D10,PRIORITÉ 1 — Contacter en urgence
57,management,divorced,,no,2986,no,no,cellular,17,dec,222,2,231.0,1,failure,yes,1,0,Q4 — Solde élevé,CHAUD,0.9441265206929991,D10,PRIORITÉ 1 — Contacter en urgence
66,housemaid,married,primary,no,1230,no,no,cellular,17,dec,726,3,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.9613943649470942,D10,PRIORITÉ 1 — Contacter en urgence
27,student,single,secondary,no,538,no,no,cellular,18,dec,170,4,197.0,2,success,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.9536551952081977,D10,PRIORITÉ 1 — Contacter en urgence
50,management,married,tertiary,no,5108,yes,no,cellular,18,dec,406,1,182.0,2,failure,yes,1,0,Q4 — Solde élevé,CHAUD,0.9095920148825464,D9,PRIORITÉ 1 — Contacter en urgence
75,retired,divorced,secondary,no,1341,no,no,cellular,18,dec,415,7,,0,,yes,1,1,Q3 — Solde moyen-haut,CHAUD,0.9387358344046688,D10,PRIORITÉ 1 — Contacter en urgence
50,services,married,secondary,no,320,no,no,telephone,21,dec,294,3,315.0,4,success,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.9599012538721785,D10,PRIORITÉ 1 — Contacter en urgence
32,admin.,single,secondary,no,131,yes,no,cellular,21,dec,322,1,189.0,1,success,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.9489006100368813,D10,PRIORITÉ 1 — Contacter en urgence
59,retired,married,primary,no,2074,no,no,cellular,21,dec,467,1,186.0,2,success,yes,1,0,Q4 — Solde élevé,CHAUD,0.9833456538279525,D10,PRIORITÉ 1 — Contacter en urgence
68,retired,married,secondary,no,1443,no,no,telephone,21,dec,2062,2,257.0,1,success,yes,1,0,Q3 — Solde moyen-haut,CHAUD,0.9629404340540789,D10,PRIORITÉ 1 — Contacter en urgence
31,technician,married,tertiary,no,3338,yes,no,cellular,21,dec,264,2,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.7408882971982143,D7,PRIORITÉ 1 — Contacter en urgence
64,self-employed,married,tertiary,no,661,no,no,cellular,21,dec,367,2,294.0,2,failure,yes,1,0,Q3 — Solde moyen-haut,TIÈDE,0.9752970915451893,D10,PRIORITÉ 1 — Contacter en urgence
30,unemployed,divorced,secondary,no,7105,no,no,cellular,22,dec,321,2,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.8550580395120874,D8,PRIORITÉ 1 — Contacter en urgence
60,admin.,married,secondary,no,3735,no,no,cellular,22,dec,190,1,188.0,9,success,yes,1,0,Q4 — Solde élevé,CHAUD,0.9839938247769654,D10,PRIORITÉ 1 — Contacter en urgence
35,management,single,tertiary,no,538,no,no,cellular,22,dec,410,3,165.0,2,other,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.9495921545668123,D10,PRIORITÉ 1 — Contacter en urgence
72,retired,married,primary,no,4657,no,no,cellular,22,dec,305,3,309.0,5,success,yes,1,0,Q4 — Solde élevé,CHAUD,0.978121092273567,D10,PRIORITÉ 1 — Contacter en urgence
30,blue-collar,married,primary,no,5,no,no,cellular,23,dec,282,1,203.0,1,success,yes,1,0,Q1 — Faible solde,CHAUD,0.9367873721210209,D10,PRIORITÉ 1 — Contacter en urgence
52,unemployed,divorced,secondary,no,230,no,no,cellular,24,dec,422,2,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.9281099464848837,D10,PRIORITÉ 1 — Contacter en urgence
33,management,married,tertiary,no,1808,no,no,cellular,28,dec,250,3,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.8352541418842118,D8,PRIORITÉ 1 — Contacter en urgence
84,retired,married,secondary,no,81204,no,no,telephone,28,dec,679,1,313.0,2,other,yes,1,0,Q4 — Solde élevé,CHAUD,0.9290617515112112,D10,PRIORITÉ 1 — Contacter en urgence
43,management,married,tertiary,no,3518,no,no,cellular,28,dec,206,2,196.0,2,success,yes,1,0,Q4 — Solde élevé,CHAUD,0.9820845066883379,D10,PRIORITÉ 1 — Contacter en urgence
39,technician,single,tertiary,no,25,yes,no,cellular,28,dec,315,1,210.0,2,success,yes,1,0,Q1 — Faible solde,CHAUD,0.9501756209180832,D10,PRIORITÉ 1 — Contacter en urgence
25,technician,married,tertiary,no,2551,no,no,cellular,28,dec,400,3,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.9522569165092135,D10,PRIORITÉ 1 — Contacter en urgence
38,admin.,married,secondary,no,11303,no,no,cellular,28,dec,473,2,216.0,2,failure,yes,1,0,Q4 — Solde élevé,CHAUD,0.9616525806432131,D10,PRIORITÉ 1 — Contacter en urgence
44,management,married,,no,2724,no,no,cellular,28,dec,893,1,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.9770687385743104,D10,PRIORITÉ 1 — Contacter en urgence
20,student,single,,no,755,no,no,cellular,29,dec,284,1,,0,,yes,1,1,Q3 — Solde moyen-haut,CHAUD,0.9423441635877675,D10,PRIORITÉ 1 — Contacter en urgence
32,management,single,tertiary,no,718,yes,no,cellular,29,dec,155,1,197.0,1,success,yes,1,0,Q3 — Solde moyen-haut,CHAUD,0.9133542241620176,D9,PRIORITÉ 1 — Contacter en urgence
23,services,single,secondary,no,870,no,no,cellular,29,dec,296,1,176.0,4,success,yes,1,0,Q3 — Solde moyen-haut,CHAUD,0.9875577000116842,D10,PRIORITÉ 1 — Contacter en urgence
35,unemployed,married,secondary,no,978,no,no,cellular,29,dec,1370,3,209.0,3,success,yes,1,0,Q3 — Solde moyen-haut,CHAUD,0.9496505527512156,D10,PRIORITÉ 1 — Contacter en urgence
61,management,married,secondary,no,544,no,no,cellular,29,dec,63,3,200.0,9,success,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.8568671316518782,D8,PRIORITÉ 1 — Contacter en urgence
46,management,divorced,tertiary,no,461,no,no,cellular,30,dec,369,2,,0,,yes,1,1,Q2 — Solde moyen-bas,CHAUD,0.8847013683714683,D9,PRIORITÉ 1 — Contacter en urgence
70,retired,married,primary,no,2795,no,no,cellular,8,jan,301,2,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.8703991376666332,D9,PRIORITÉ 1 — Contacter en urgence
25,technician,single,secondary,no,139,no,yes,cellular,11,jan,202,1,91.0,1,success,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.850010342906575,D8,PRIORITÉ 1 — Contacter en urgence
57,retired,married,secondary,no,1044,no,no,telephone,11,jan,585,1,192.0,2,success,yes,1,0,Q3 — Solde moyen-haut,CHAUD,0.8657032511797119,D9,PRIORITÉ 1 — Contacter en urgence
55,admin.,married,secondary,no,1633,no,no,cellular,11,jan,210,1,192.0,2,success,yes,1,0,Q3 — Solde moyen-haut,CHAUD,0.9314366326542111,D10,PRIORITÉ 1 — Contacter en urgence
33,management,married,tertiary,no,6513,yes,no,cellular,11,jan,170,1,343.0,1,other,yes,1,0,Q4 — Solde élevé,CHAUD,0.4293322372255935,D5,PRIORITÉ 2 — À qualifier
73,retired,married,primary,no,1388,no,no,telephone,11,jan,767,2,83.0,1,success,yes,1,0,Q3 — Solde moyen-haut,CHAUD,0.9108463338049382,D9,PRIORITÉ 1 — Contacter en urgence
34,unemployed,single,secondary,no,15,no,no,cellular,12,jan,377,1,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.4403226340101461,D5,PRIORITÉ 2 — À qualifier
31,technician,single,secondary,no,2544,no,no,cellular,12,jan,229,1,279.0,2,success,yes,1,0,Q4 — Solde élevé,CHAUD,0.890566852754389,D9,PRIORITÉ 1 — Contacter en urgence
25,blue-collar,single,secondary,no,2007,no,no,cellular,12,jan,265,2,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.7519744203185924,D7,PRIORITÉ 1 — Contacter en urgence
30,technician,married,tertiary,no,2166,no,no,cellular,12,jan,316,2,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.5147580640955631,D5,PRIORITÉ 2 — À qualifier
28,self-employed,single,tertiary,no,4579,no,no,cellular,12,jan,409,2,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.7481116358955812,D7,PRIORITÉ 1 — Contacter en urgence
21,student,single,secondary,no,2488,no,no,telephone,12,jan,661,2,92.0,1,success,yes,1,0,Q4 — Solde élevé,CHAUD,0.9458577147905857,D10,PRIORITÉ 1 — Contacter en urgence
87,retired,married,primary,no,2190,no,no,telephone,12,jan,512,2,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.8126252228820458,D8,PRIORITÉ 1 — Contacter en urgence
22,student,single,secondary,no,254,no,no,cellular,13,jan,143,2,,0,,yes,1,1,Q2 — Solde moyen-bas,CHAUD,0.7353062645574925,D7,PRIORITÉ 1 — Contacter en urgence
28,self-employed,single,tertiary,no,1579,no,no,cellular,13,jan,163,1,91.0,3,failure,yes,1,0,Q3 — Solde moyen-haut,TIÈDE,0.39455962273367373,D5,PRIORITÉ 2 — À qualifier
31,unemployed,married,tertiary,no,330,no,no,cellular,13,jan,260,1,194.0,2,success,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.8316714834622629,D8,PRIORITÉ 1 — Contacter en urgence
60,retired,married,secondary,no,938,no,no,cellular,13,jan,380,3,,0,,yes,1,1,Q3 — Solde moyen-haut,CHAUD,0.7226431147887419,D7,PRIORITÉ 1 — Contacter en urgence
41,technician,single,,no,5372,yes,no,cellular,13,jan,248,3,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.5454950808232228,D6,PRIORITÉ 2 — À qualifier
24,student,single,secondary,no,3176,no,no,cellular,13,jan,108,2,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.7838071139063493,D7,PRIORITÉ 1 — Contacter en urgence
54,management,divorced,tertiary,no,496,no,no,cellular,13,jan,452,3,,0,,yes,1,1,Q2 — Solde moyen-bas,CHAUD,0.5818562540257399,D6,PRIORITÉ 2 — À qualifier
35,technician,single,tertiary,no,0,no,no,cellular,14,jan,187,7,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.36202159009385526,D5,PRIORITÉ 2 — À qualifier
70,retired,divorced,primary,no,482,no,no,telephone,14,jan,372,1,196.0,2,success,yes,1,0,Q2 — Solde moyen-bas,CHAUD,0.942329504224517,D10,PRIORITÉ 1 — Contacter en urgence
62,blue-collar,married,secondary,no,180,no,no,cellular,14,jan,183,1,90.0,4,other,yes,1,0,Q2 — Solde moyen-bas,TIÈDE,0.5965208180727954,D6,PRIORITÉ 2 — À qualifier
